Key,english,german,french,italian,spanish,japanese,koreana,polish,brazilian,russian,turkish,schinese,tchinese
ck_override_presets,Override Camera Presets,Kameraeinstellungen überschreiben,Remplacer les préréglages de la caméra,Sostituisci i preset della fotocamera,Anular ajustes preestablecidos de la cámara,カメラプリセットを上書きする,카메라 사전 설정 재정의,Zastąp ustawienia wstępne kamery,Substituir predefinições da câmera,Изменить настройки камеры,Kamera Ön Ayarlarını Geçersiz Kıl,覆盖相机预设,覆蓋相機預設
ck_post_land_delay,Post Land Delay *,Verzögerung nach der Landabgabe *,Délai après atterrissage *,Ritardo post-terra *,Retraso posterior a la llegada a tierra *,着陸後の遅延 *,토지 지연 후 *,Opóźnienie w dostawie lądowej *,Atraso na entrega de terra *,Задержка доставки после отправки *,Arazi Gecikmesi Sonrası *,陆路延误后*,陸上延誤後*
ck_preset_close_ground,6. Close-Ground,6. Nahbereich,6. Terrain rapproché,6. Ravvicinato,6. Primer plano,6. 近距離,6. 근접전,6. Blisko ziemi,6. Terreno próximo,6. Ближний план,6. Yakın Mesafe,6. 近距离,6. 近距離
ck_preset_close_high,2. Close-High,2. Schlusskurs-Hochkurs,2. Close-High,2. Vicino-Alto,2. Cierre Alto,2. 終値高値,2. 종가-고가,2. Blisko-wysoko,2. Fechamento-Alto,2. Близко-высоко,2. Yakın-Yüksek,2. 收盘最高价,2. 收盤最高價
ck_preset_close_mid,7. Close-Mid,7. Nah-Mittel,7. Proche-Milieu,7. Close-Mid,7. Medio-cerrado,7. クローズミッド,7. 근접-중간,7. Bliski środek,7. Médio-Fechado,7. Ближний/средний,7. Yakın-Orta,7. 接近中端,7. 接近中端
ck_preset_far_high,4. Far-High,4. Weit-Hoch,4. Très haut,4. Molto alto,4. Muy alto,4. ファーハイ,4. 원고층,4. Daleko-wysoki,4. Muito Alto,4. Далеко-Высоко,4. Çok Yüksek,4. 远高,4. 遠高
ck_preset_medium_ground,3. Medium-Ground,3. Mittelgrund,3. Terrain intermédiaire,3. Terreno medio,3. Medio-Terreno,3. 中盤,3. 중간 지형,3. Średnio-gruntowy,3. Terreno médio,3. Средний размер,3. Orta Zemin,3. 中地,3. 中地
ck_preset_name,Preset,Voreinstellung,Préréglage,Preimpostato,Programar,プリセット,사전 설정,Ustawienie wstępne,Predefinido,Предустановка,Önceden ayarlanmış,预设,預設
ck_preset_standard,1. Standard,1. Standard,1. Norme,1. Standard,1. Estándar,1. 標準,1. 표준,1. Standard,1. Padrão,1. Стандарт,1. Standart,1. 标准,1. 標準
ck_preset_tight_elevated,5. Tight-Elevated,5. Eng anliegend-hoch,5. Étroit-Élevé,5. Stretto-Sollevato,5. Elevado y tenso,5. タイトエレベーテッド,5. 타이트-엘리베이티드,5. Ściśle podwyższone,5. Apertado-Elevado,5. Узкий возвышенный,5. Dar ve Yüksek,5. 紧致抬高的,5. 緊緻抬高的
ck_preset_override_desc,Select presets for this trigger only,Wählen Sie nur Voreinstellungen für diesen Trigger aus.,Sélectionnez uniquement les préréglages pour ce déclencheur.,Seleziona i preset solo per questo trigger,Seleccionar ajustes preestablecidos solo para este disparador,このトリガーのみのプリセットを選択,이 트리거에 대해서만 사전 설정을 선택하세요.,Wybierz ustawienia wstępne tylko dla tego wyzwalacza,Selecione predefinições apenas para este gatilho,Выберите предустановки только для этого триггера,Yalnızca bu tetikleyici için ön ayarları seçin.,仅选择此触发器的预设,僅選擇此觸發器的預設
ck_presets_desc,Save current values as a named preset,Aktuelle Werte als benannte Voreinstellung speichern,Enregistrer les valeurs actuelles en tant que préréglage nommé,Salva i valori correnti come un preset denominato,Guardar los valores actuales como un ajuste preestablecido con nombre,現在の値を名前付きプリセットとして保存する,현재 값을 이름이 지정된 사전 설정으로 저장합니다.,Zapisz bieżące wartości jako nazwane ustawienie wstępne,Salve os valores atuais como uma predefinição nomeada.,Сохраните текущие значения в виде именованного предустановленного набора.,Mevcut değerleri adlandırılmış bir ön ayar olarak kaydedin.,将当前值保存为已命名的预设值,將目前值儲存為已命名的預設值
ck_presets_enabled,Presets,Voreinstellungen,Préréglages,Preimpostazioni,Ajustes preestablecidos,プリセット,사전 설정,Ustawienia wstępne,Predefinições,Предустановки,Ön Ayarlar,预设,預設
ck_proj,Proj,Projekt,Projet,Progetto,Proyecto,プロジェクト,프로젝트,Projekt,Proj,Проект,Proje,项目,專案
ck_proj_fov_mode,Mode,Modus,Mode,Modalità,Modo,モード,방법,Tryb,Modo,Режим,Mod,模式,模式
ck_projectile,Projectile,Projektil,Projectile,Proiettile,Proyectil,発射物,발사체,Pocisk,Projétil,Снаряд,Mermi,弹丸,彈丸
ck_projectile_camera,Projectile Camera,Projektilkamera,Caméra projectile,Fotocamera a proiettile,Cámara de proyectiles,発射物カメラ,투사체 카메라,Kamera pociskowa,Câmera de projétil,Камера для метания снарядов,Projeksiyon Kamerası,投射相机,投射相機
ck_projectile_only,Projectile Only,Nur Projektil,Projectile uniquement,Solo proiettile,Sólo proyectil,発射物のみ,투사체 전용,Tylko pocisk,Somente projétil,Только снаряд,Sadece Mermi,仅限投射物,僅限投射物
ck_projectile_percent,Projectile %,Projektil %,Projectile %,Proiettile %,Proyectil %,発射体 %,발사체 %,Pocisk %,% de projéteis,Процент снаряда,Mermi %,弹道百分比,彈道百分比
ck_proj_only,Proj Only,Nur Projekt,Projet uniquement,Solo progetto,Solo proyecto,プロジェクトのみ,프로젝트 전용,Tylko projekt,Somente projeto,Только проект,Sadece Proje,仅限项目,僅限項目
ck_ranged,Ranged,Fernkampf,Portée,A distanza,A distancia,遠距離,원거리,Zasięgowy,à distância,Дальний,Menzilli,远程,遠端
ck_reset_button,🔄 RESET,🔄 ZURÜCKSETZEN,🔄 RÉINITIALISER,🔄 RESET,🔄 REINICIAR,🔄リセット,🔄 재설정,🔄 RESET,🔄 REINICIAR,🔄 СБРОС,🔄 SIFIRLA,🔄 重置,🔄 重置
ck_reset_done,✓ RESET!,✓ ZURÜCKSETZEN!,✓ RÉINITIALISER !,✓ RESETTA!,✓ ¡REINICIAR!,✓ リセット!,✓ 재설정!,✓ RESETUJ!,✓ REINICIAR!,✓ СБРОС!,✓ SIFIRLA!,✓ 重置！,✓ 重置！
ck_reset_to_defaults,Reset to Defaults,Auf Standardeinstellungen zurücksetzen,Réinitialiser les paramètres par défaut,Ripristina impostazioni predefinite,Restablecer valores predeterminados,デフォルトにリセット,기본 설정으로 재설정,Przywróć ustawienia domyślne,Restaurar padrões de fábrica,Сбросить до значений по умолчанию,Varsayılan ayarlara sıfırla,恢复默认设置,恢復預設設定
ck_save_preset,Save Preset,Voreinstellung speichern,Enregistrer le préréglage,Salva preimpostazione,Guardar ajuste preestablecido,プリセットを保存,설정 저장,Zapisz ustawienia wstępne,Salvar predefinição,Сохранить предустановку,Ön ayarı kaydet,保存预设,儲存預設
ck_save_settings,SAVE,SPEICHERN,SAUVEGARDER,SALVA,AHORRAR,保存,구하다,RATOWAĆ,SALVAR,СОХРАНЯТЬ,KAYDETMEK,节省,節省
ck_saved_presets,Saved Presets:,Gespeicherte Voreinstellungen:,Préréglages enregistrés :,Preimpostazioni salvate:,Ajustes preestablecidos guardados:,保存されたプリセット:,저장된 프리셋:,Zapisane ustawienia wstępne:,Predefinições salvas:,Сохраненные пресеты:,Kaydedilen Ön Ayarlar:,已保存的预设：,已儲存的預設：
ck_scope_info,"Scope: Shown in FP, hidden in Projectile","Umfang: In FP angezeigt, in Projectile ausgeblendet.","Portée : affichée en vue subjective, cachée en mode projectile","Ambito: mostrato in FP, nascosto in Proiettile","Alcance: Se muestra en FP, oculto en Proyectil",スコープ: FPに表示、投射物に非表示,"범위: FP에 표시되고, Projectile에는 숨겨져 있습니다.","Zakres: Pokazywany w FP, ukryty w Projectile","Escopo: Exibido em FP, oculto em Projectile","Прицел: отображается в FP, скрыт в снаряде.","Kapsam: FP'de gösterilir, Projectile'da gizlidir.",范围：在FP中显示，在投射物中隐藏,範圍：在FP中顯示，在投射物中隱藏
ck_section_active_triggers,ACTIVE TRIGGERS,AKTIVE AUSLÖSER,DÉCLENCHEURS ACTIFS,TRIGGER ATTIVI,DESENCADENANTES ACTIVOS,アクティブトリガー,활성 트리거,AKTYWNE WYZWALACZE,GATILHOS ATIVOS,АКТИВНЫЕ ТРИГГЕРЫ,AKTİF TETİKLEYİCİLER,主动触发器,主動觸發器
ck_section_advanced,ADVANCED,FORTSCHRITTLICH,AVANCÉ,AVANZATO,AVANZADO,高度な,고급의,ZAAWANSOWANY,AVANÇADO,ПЕРЕДОВОЙ,GELİŞMİŞ,先进的,先進的
ck_section_basic_kill,BASIC KILL,GRUNDLEGENDER TÖTUNG,MORT DE BASE,UCCISIONE DI BASE,ASESINATO BÁSICO,基本キル,기본 킬,ZABICIE PODSTAWOWE,ATAQUE BÁSICO,БАЗОВОЕ УБИЙСТВО,TEMEL ÖLDÜRME,基本击杀,基本擊殺
ck_section_camera,CAMERA,KAMERA,CAMÉRA,TELECAMERA,CÁMARA,カメラ,카메라,KAMERA,CÂMERA,КАМЕРА,KAMERA,相机,相機
ck_section_camera_dimensions,CAMERA DIMENSIONS,KAMERAABMESSUNGEN,DIMENSIONS DE L'APPAREIL PHOTO,DIMENSIONI DELLA FOTOCAMERA,DIMENSIONES DE LA CÁMARA,カメラ寸法,카메라 크기,WYMIARY KAMERY,DIMENSÕES DA CÂMERA,РАЗМЕРЫ КАМЕРЫ,KAMERA BOYUTLARI,相机尺寸,相機尺寸
ck_section_cinematics_disabled,CINEMATICS DISABLED,CINEMATICS DEAKTIVIERT,CINÉMAS DÉSACTIVÉS,CINEMA DISABILITATO,CINEMÁTICA DESACTIVADA,シネマティック無効,시네마틱스 기능 비활성화됨,FILMOWANIE WYŁĄCZONE,CINEMATOGRAFIA DESATIVADA,КИНЕМАТОГРАФИЧЕСКИЕ УДОСТВЕРЕНИЯ,SİNEMATİKLER DEVRE DIŞI BIRAKILDI,电影级特效已禁用,電影級特效已停用
ck_section_custom_presets,CUSTOM PRESETS,BENUTZERDEFINIERTE VOREINSTELLUNGEN,PRÉRÉGLAGES PERSONNALISÉS,PRESET PERSONALIZZATI,PREAJUSTES PERSONALIZADOS,カスタムプリセット,사용자 지정 사전 설정,NIESTANDARDOWE USTAWIENIA PRESET,PREDEFINIÇÕES PERSONALIZADAS,ПОЛЬЗОВАТЕЛЬСКИЕ ПРЕСЕТЫ,ÖZEL ÖN AYARLAR,自定义预设,自訂預設
ck_section_developer,DEVELOPER OPTIONS,Entwickleroptionen,OPTIONS POUR DÉVELOPPEURS,OPZIONI SVILUPPATORE,OPCIONES PARA DESARROLLADORES,開発者向けオプション,개발자 옵션,OPCJE DEWELOPERSKIE,OPÇÕES DO DESENVOLVEDOR,ВАРИАНТЫ ДЛЯ РАЗРАБОТЧИКА,GELİŞTİRİCİ SEÇENEKLERİ,开发者选项,開發者選項
ck_section_effects,EFFECTS,WIRKUNGEN,EFFETS,EFFETTI,EFECTOS,効果,효과,RUCHOMOŚCI,EFEITOS,ПОСЛЕДСТВИЯ,ETKİLER,效果,效果
ck_section_enemy_focus,ENEMY FOCUS,FEINDFOKUS,FOCUS ENNEMI,FOCUS DEL NEMICO,ENFOQUE ENEMIGO,敵の集中,적 집중,SKUPIENIE NA WROGU,FOCO NO INIMIGO,ФОКУС ПРОТИВНИКА,DÜŞMAN ODAĞI,敌方焦点,敵方焦點
ck_section_experimental,⚗ EXPERIMENTAL,⚗ EXPERIMENTELL,⚗ EXPÉRIMENTAL,⚗ SPERIMENTALE,⚗ EXPERIMENTAL,⚗ 実験的,⚗ 실험용,⚗ EKSPERYMENTALNY,⚗ EXPERIMENTAL,⚗ ЭКСПЕРИМЕНТАЛЬНЫЙ,⚗ DENEYSEL,⚗ 实验性的,⚗ 實驗性的
ck_section_hud,HUD,HUD,HUD,HUD,HUD,HUD,HUD,HUD,HUD,HUD,HUD,抬头显示器,抬頭顯示器
ck_section_hud_display,HUD DISPLAY,HUD-ANZEIGE,AFFICHAGE HUD,DISPLAY HUD,PANTALLA HUD,HUDディスプレイ,HUD 디스플레이,WYŚWIETLACZ HUD,EXIBIÇÃO HUD,HUD-дисплей,HUD EKRANI,HUD显示屏,HUD顯示幕
ck_section_import_export,IMPORT / EXPORT SETTINGS,IMPORT-/EXPORTEINSTELLUNGEN,PARAMÈTRES D'IMPORTATION/D'EXPORTATION,IMPORTA / ESPORTA IMPOSTAZIONI,CONFIGURACIÓN DE IMPORTACIÓN/EXPORTACIÓN,インポート/エクスポート設定,가져오기/내보내기 설정,IMPORTOWANIE/EKSPORTOWANIE USTAWIEŃ,CONFIGURAÇÕES DE IMPORTAÇÃO/EXPORTAÇÃO,Настройки импорта/экспорта,İTHALAT / İHRACAT AYARLARI,导入/导出设置,導入/匯出設定
ck_section_main,MAIN,HAUPTSÄCHLICH,PRINCIPAL,PRINCIPALE,PRINCIPAL,主要,기본,GŁÓWNY,PRINCIPAL,ОСНОВНОЙ,ANA,主要的,主要的
ck_section_master_control,MASTER CONTROL,HAUPTSTEUERUNG,CONTRÔLE PRINCIPAL,CONTROLLO PRINCIPALE,CONTROL MAESTRO,マスターコントロール,마스터 컨트롤,STEROWANIE GŁÓWNE,CONTROLE PRINCIPAL,ГЛАВНОЕ УПРАВЛЕНИЕ,ANA KONTROL,主控室,主控室
ck_section_presets,PRESETS,VOREINSTELLUNGEN,PRÉRÉGLAGES,PRESET,PRESETS,プリセット,사전 설정,USTAWIENIA PRESET,PREDEFINIÇÕES,ПРЕСЕТЫ,ÖN AYARLAR,预设,預設
ck_section_trigger_defaults,TRIGGER DEFAULTS,Auslöser-Standardeinstellungen,DÉFAUTS DE DÉCLENCHEMENT,IMPOSTAZIONI PREDEFINITE DEL TRIGGER,VALORES PREDETERMINADOS DEL DISPARADOR,トリガーのデフォルト,트리거 기본값,DOMYŚLNE WARTOŚCI WYZWALACZA,PADRÕES DE ACIONAMENTO,УСЛОВИЯ ЗАПУСКА,TETİKLEME VARSAYILANLARI,触发默认值,觸發預設值
ck_section_trigger_overrides,TRIGGER OVERRIDES,Triggerüberschreibungen,SURCHARGES DE DÉCLENCHEMENT,SOSTITUZIONI DEI TRIGGER,ANULACIONES DE DISPARADORES,トリガーオーバーライド,트리거 오버라이드,NADPISYWANIE WYZWALACZY,SOBREPOSIÇÕES DE GATILHO,ПЕРЕОПРЕДЕЛЕНИЕ ТРИГГЕРОВ,TETİKLEYİCİ GEÇERSİZ KILMALARI,触发器覆盖,觸發器覆蓋
ck_section_triggers,SPECIAL TRIGGERS,SPEZIELLE AUSLÖSER,DÉCLENCHEURS SPÉCIAUX,GRILLETTI SPECIALI,DISPARADORES ESPECIALES,特別なトリガー,특수 트리거,WYZWALACZE SPECJALNE,GATILHOS ESPECIAIS,СПЕЦИАЛЬНЫЕ ТРИГГЕРЫ,ÖZEL TETİKLEYİCİLER,特殊触发器,特殊觸發器
ck_section_triggers_disabled,TRIGGERS DISABLED,Trigger deaktiviert,DÉCLENCHEURS DÉSACTIVÉS,TRIGGER DISATTIVATI,DISPARADORES DESACTIVADOS,トリガー無効,트리거 비활성화됨,WYZWALACZE WYŁĄCZONE,GATILHOS DESATIVADOS,ТРИГГЕРЫ ОТКЛЮЧЕНЫ,TETİKLEYİCİLER DEVRE DIŞI BIRAKILDI,触发器已禁用,觸發器已停用
ck_section_weapon_modes,WEAPON MODES,WAFFENMODI,MODES D'ARMES,MODALITÀ ARMA,MODOS DE ARMAS,武器モード,무기 모드,TRYBY BRONI,MODOS DE ARMAS,РЕЖИМЫ ОРУЖИЯ,SİLAH MODLARI,武器模式,武器模式
ck_show_hud,Show HUD,HUD anzeigen,Afficher l'interface utilisateur,Mostra HUD,Mostrar HUD,HUDを表示,HUD 표시,Pokaż HUD,Exibir HUD,Показать HUD,HUD'u göster,显示HUD,顯示HUD
ck_side_offset,Side Offset,Seitlicher Versatz,Décalage latéral,Offset laterale,Desplazamiento lateral,サイドオフセット,측면 오프셋,Przesunięcie boczne,Deslocamento lateral,Смещение по бокам,Yan Ofset,侧向偏移,側向偏移
ck_side_offset_disabled,Disabled (no offset),Deaktiviert (kein Offset),Désactivé (pas de décalage),Disabilitato (nessun offset),Deshabilitado (sin desplazamiento),無効（オフセットなし）,비활성화됨(오프셋 없음),Wyłączone (bez przesunięcia),Desativado (sem deslocamento),Отключено (без смещения),Devre dışı (ofset yok),已禁用（无偏移）,已禁用（無偏移）
ck_smart_options,SMART OPTIONS,Intelligente Optionen,OPTIONS INTELLIGENTES,OPZIONI INTELLIGENTI,OPCIONES INTELIGENTES,スマートな選択肢,스마트 옵션,INTELIGENTNE OPCJE,OPÇÕES INTELIGENTES,УМНЫЕ ВАРИАНТЫ,AKILLI SEÇENEKLER,智能选项,智慧選項
ck_smart_options_desc,Automatically choose best camera based on weapon type,Automatische Auswahl der besten Kamera basierend auf dem Waffentyp,Sélection automatique de la meilleure caméra en fonction du type d'arme,Scegli automaticamente la telecamera migliore in base al tipo di arma,Elige automáticamente la mejor cámara según el tipo de arma,武器の種類に応じて最適なカメラを自動的に選択,무기 종류에 따라 최적의 카메라를 자동으로 선택합니다.,Automatycznie wybieraj najlepszy aparat na podstawie typu broni,Selecionar automaticamente a melhor câmera com base no tipo de arma.,Автоматический выбор лучшей камеры в зависимости от типа оружия.,Silah türüne göre en iyi kamerayı otomatik olarak seçin.,根据武器类型自动选择最佳摄像头,根據武器類型自動選擇最佳攝影機
ck_special_triggers_fp,SPECIAL TRIGGERS,SPEZIELLE AUSLÖSER,DÉCLENCHEURS SPÉCIAUX,GRILLETTI SPECIALI,DISPARADORES ESPECIALES,特別なトリガー,특수 트리거,WYZWALACZE SPECJALNE,GATILHOS ESPECIAIS,СПЕЦИАЛЬНЫЕ ТРИГГЕРЫ,ÖZEL TETİKLEYİCİLER,特殊触发器,特殊觸發器
ck_standard_presets,Standard Presets,Standardvoreinstellungen,Préréglages standard,Preimpostazioni standard,Ajustes preestablecidos estándar,標準プリセット,표준 사전 설정,Standardowe ustawienia wstępne,Predefinições padrão,Стандартные предустановки,Standart Ön Ayarlar,标准预设,標準預設
ck_summary_tab_desc,"When enabled, this tab shows a read-only summary of all your cinematic settings at a glance.","Wenn diese Registerkarte aktiviert ist, wird eine schreibgeschützte Zusammenfassung all Ihrer Filmeinstellungen auf einen Blick angezeigt.","Lorsqu'il est activé, cet onglet affiche un résumé en lecture seule de tous vos paramètres cinématiques, permettant de les consulter en un coup d'œil.","Se abilitata, questa scheda mostra un riepilogo di sola lettura di tutte le impostazioni cinematografiche a colpo d'occhio.","Cuando está habilitada, esta pestaña muestra un resumen de solo lectura de todas las configuraciones cinematográficas de un vistazo.",有効にすると、このタブにはすべてのシネマティック設定の概要が読み取り専用で一目で表示されます。,이 기능을 활성화하면 모든 시네마틱 설정에 대한 읽기 전용 요약 정보가 한눈에 표시됩니다.,Po włączeniu ta zakładka wyświetla podsumowanie wszystkich ustawień kinowych w formacie tylko do odczytu.,"Quando ativada, esta aba exibe um resumo somente leitura de todas as suas configurações cinematográficas em um relance.",При включении эта вкладка отображает сводную информацию обо всех ваших кинематографических настройках в режиме только для чтения.,"Etkinleştirildiğinde, bu sekme tüm sinematik ayarlarınızın salt okunur bir özetini bir bakışta gösterir.",启用后，此选项卡会显示所有电影设置的只读摘要，让您一目了然。,啟用後，此標籤會顯示所有影片設定的唯讀摘要，讓您一目了然。
ck_tab_advanced,Advanced,Fortschrittlich,Avancé,Avanzato,Avanzado,高度な,고급의,Zaawansowany,Avançado,Передовой,Gelişmiş,先进的,先進的
ck_tab_camera,Camera,Kamera,Caméra,Telecamera,Cámara,カメラ,카메라,Kamera,Câmera,Камера,Kamera,相机,相機
ck_tab_effects,Effects,Auswirkungen,Effets,Effetti,Efectos,効果,효과,Ruchomości,Efeitos,Эффекты,Etkiler,效果,效果
ck_tab_experimental,⚗ Experimental,⚗ Experimentell,⚗ Expérimental,⚗ Sperimentale,⚗ Experimental,⚗ 実験的,⚗ 실험용,⚗ Eksperymentalny,⚗ Experimental,⚗ Экспериментальный,⚗ Deneysel,⚗ 实验性,⚗ 實驗性
ck_tab_hud,HUD,HUD,HUD,HUD,HUD,HUD,HUD,HUD,HUD,HUD,HUD,抬头显示器,抬頭顯示器
ck_tab_main,Main,Hauptsächlich,Principal,Principale,Principal,主要,기본,Główny,Principal,Основной,Ana,主要的,主要的
ck_tab_summary,Summary,Zusammenfassung,Résumé,Riepilogo,Resumen,まとめ,요약,Streszczenie,Resumo,Краткое содержание,Özet,概括,概括
ck_tab_triggers,Triggers,Auslöser,Déclencheurs,Trigger,Desencadenantes,トリガー,트리거,Wyzwalacze,Gatilhos,Триггеры,Tetikleyiciler,触发器,觸發器
ck_tilt,Tilt,Neigung,Inclinaison,Inclinare,Inclinación,傾き,경사,Nachylenie,Inclinar,Наклон,Eğim,倾斜,傾斜
ck_tilt_disabled,Disabled (no tilt),Deaktiviert (keine Neigung),Désactivé (pas d'inclinaison),Disabilitato (nessuna inclinazione),Desactivado (sin inclinación),無効（傾斜なし）,비활성화됨(기울임 없음),Niepełnosprawny (bez pochylenia),Desativado (sem inclinação),Отключено (без наклона),Devre dışı (eğim yok),已禁用（无倾斜功能）,已禁用（無傾斜功能）
ck_time_scale,Time Scale *,Zeitskala *,Échelle de temps *,Scala temporale *,Escala de tiempo *,時間スケール *,시간 척도 *,Skala czasu *,Escala de tempo *,Временная шкала *,Zaman Ölçeği *,时间尺度*,時間尺度*
ck_time_scale_label,Time Scale,Zeitskala,Échelle de temps,Scala temporale,Escala de tiempo,時間スケール,시간 척도,Skala czasu,Escala de tempo,Временная шкала,Zaman Ölçeği,时间尺度,時間尺度
ck_trigger_basic_kill,Basic Kill,Standardkill,Tuer de base,Uccisione di base,Muerte básica,基本的なキル,기본 처치,Podstawowe zabójstwo,Eliminação Básica,Базовое убийство,Temel Öldürme,基本击杀,基本擊殺
ck_trigger_critical,Critical Hit,Kritischer Treffer,Coup critique,Colpo critico,Golpe crítico,クリティカルヒット,치명타,Krytyczny cios,Golpe Crítico,Критический удар,Kritik Vuruş,暴击,暴擊
ck_trigger_dismember,Dismember,Zerstückeln,Démembrer,Smembrare,Desmembrar,解体する,해체하다,Rozczłonkować,Desmembrar,Расчленить,Parçalara Ayır,肢解,肢解
ck_trigger_explosive,Explosive,Explosiv,Explosif,Esplosivo,Explosivo,爆発物,폭발물,Materiał wybuchowy,Explosivo,Взрывчатый,Patlayıcı,爆炸物,霹靂
ck_trigger_headshot,Headshot,Kopffoto,Photo du visage,Colpo di testa,Disparo a la cabeza,ヘッド・ショット,헤드샷,Zdjęcie głowy,Retrato,Выстрел в голову,Kafadan vuruş,爆头,爆頭
ck_trigger_killstreak,Killstreak,Killstreak,Série d'éliminations,Serie di uccisioni,Racha de muertes,キルストリーク,킬스트릭,Seria zabójstw,Sequência de eliminações,Серия убийств,Öldürme Serisi,连杀,連殺
ck_trigger_last_enemy,Last Enemy,Letzter Feind,Dernier ennemi,Ultimo nemico,Último enemigo,最後の敵,마지막 적,Ostatni wróg,Último Inimigo,Последний враг,Son Düşman,最后敌人,最後敵人
ck_trigger_last_stand,LAST STAND,LETZTER STAND,DERNIER COMBAT,ULTIMO ATTO,ÚLTIMA RESISTENCIA,最後の砦,최후의 저항,OSTATNI BASTION,ÚLTIMA POSIÇÃO,ПОСЛЕДНИЙ БОЙ,SON STAND,最后一站,最後一站
ck_trigger_long_range,Long Range,Langstreckenreichweite,Longue portée,Lungo raggio,Largo alcance,長距離,장거리,Daleki zasięg,Longo alcance,Дальний радиус действия,Uzun Menzil,远程,遠端
ck_trigger_low_health,Low Health,Niedrige Gesundheit,Faible santé,Bassa salute,Baja salud,体力低下,건강 상태가 좋지 않음,Niskie zdrowie,Saúde baixa,Низкий уровень здоровья,Düşük Sağlık,健康值低,健康值低
ck_trigger_melee,Melee,Nahkampf,Mêlée,Mischia,Pelea confusa,近接戦闘,난투,Bijatyka,Corpo a corpo,Ближний бой,Yakın Dövüş,近战,近戰
ck_trigger_overrides_desc,Override default settings for specific triggers,Standardeinstellungen für bestimmte Auslöser überschreiben,Remplacer les paramètres par défaut pour des déclencheurs spécifiques,Sostituisci le impostazioni predefinite per trigger specifici,Anular la configuración predeterminada para activadores específicos,特定のトリガーのデフォルト設定を上書きする,특정 트리거에 대한 기본 설정을 재정의합니다.,Zastąp ustawienia domyślne dla określonych wyzwalaczy,Substitua as configurações padrão para gatilhos específicos.,Изменить настройки по умолчанию для определенных триггеров,Belirli tetikleyiciler için varsayılan ayarları geçersiz kılın.,覆盖特定触发器的默认设置。,覆蓋特定觸發器的預設設定。
ck_trigger_power_attack,Power Attack,Kraftangriff,Attaque puissante,Attacco di potenza,Ataque de poder,パワーアタック,파워 어택,Atak mocy,Ataque poderoso,Мощная атака,Güçlü Saldırı,强力攻击,強力攻擊
ck_trigger_projectile_kill,Projectile Kill,Projektilzerstörung,Tuer par projectile,Uccisione tramite proiettile,Muerte por proyectil,発射物による殺害,투사체 킬,Zabójstwo pociskiem,Morte por projétil,Поражение снарядом,Mermi Öldürme,弹道杀伤,彈道殺傷
ck_trigger_ranged_kill,Ranged Kill,Fernkampf-Tötung,Attaque à distance,Uccisione a distanza,Muerte a distancia,遠距離キル,원거리 킬,Zabójstwo dystansowe,Morte à distância,Убийство с расстояния,Uzaktan Öldürme,远程击杀,遠程擊殺
ck_trigger_sneak,Sneak,Schleichen,Mouchard,furtivamente,Furtivo,こっそり,좀도둑,Donosiciel,Espionagem,Прокрасться,Sinsi,潜行,潛行
ck_trigger_sneak_kill,Sneak Kill,Heimlicher Tod,Tuer par surprise,Uccisione furtiva,Asesinato furtivo,スニークキル,기습 살인,Podstępne zabijanie,Assassinato furtivo,Скрытое убийство,Sinsi Öldürme,偷袭击杀,偷襲擊殺
ck_triggers_default_label,Triggers Default:,Standardauslöser:,Déclencheurs par défaut :,Trigger predefiniti:,Desencadenantes predeterminados:,トリガーのデフォルト:,트리거 기본값:,Wyzwalacze domyślne:,Acionadores padrão:,Триггеры по умолчанию:,Varsayılan Tetikleyiciler:,触发器默认值：,觸發器預設值：
ck_triggers_disabled_hint,Special Triggers are disabled in Main tab,Spezielle Trigger sind im Hauptmenü deaktiviert,Les déclencheurs spéciaux sont désactivés dans l'onglet principal.,I trigger speciali sono disabilitati nella scheda principale,Los activadores especiales están deshabilitados en la pestaña principal,メインタブでは特殊トリガーが無効になっています,메인 탭에서 특수 트리거가 비활성화됩니다.,Specjalne wyzwalacze są wyłączone w karcie głównej,Os gatilhos especiais estão desativados na guia Principal.,Специальные триггеры отключены на вкладке «Главная».,Ana sekmede Özel Tetikleyiciler devre dışı bırakılmıştır.,主选项卡中已禁用特殊触发器,主選項卡中已停用特殊觸發器
ck_triggers_tab_desc1,This tab allows you to configure weapon modes and,Über diese Registerkarte können Sie die Waffenmodi konfigurieren und,Cet onglet vous permet de configurer les modes d'armes et,Questa scheda consente di configurare le modalità delle armi e,Esta pestaña te permite configurar los modos de armas y,このタブでは武器モードと,이 탭에서는 무기 모드를 설정할 수 있습니다.,Ta zakładka umożliwia konfigurację trybów broni i,Esta aba permite configurar os modos de armas e,Эта вкладка позволяет настраивать режимы работы оружия и,"Bu sekme, silah modlarını yapılandırmanıza olanak tanır ve",此选项卡允许您配置武器模式和,此選項卡可讓您配置武器模式和
ck_triggers_tab_desc2,individual trigger overrides.,Individuelle Triggerüberschreibungen.,Remplacement individuel des déclencheurs.,sostituzioni di trigger individuali.,anulaciones de disparadores individuales.,個別のトリガーオーバーライド。,개별 트리거 재정의.,indywidualne obejścia wyzwalaczy.,Sobrescritas de gatilhos individuais.,Индивидуальные настройки триггеров.,bireysel tetikleyici geçersiz kılmaları.,单独触发器覆盖。,單獨觸發器覆蓋。
